Period;EventID;EventDate;Seq;MaxExp;Loss
14150;3194050;27/11/2013 05:02;1;9.02154445E7;9.02154445E7
14150;3199006;01/08/2013 22:24;1;7.36988875E7;7.36988875E7
14150;3200846;19/09/2013 00:40;1;7.3549133E7;7.3549133E7
14150;3198031;03/04/2013 16:11;1;6.5512704E7;6.5512704E7
14150;3196068;05/07/2013 00:35;1;4.811428E7;4.811428E7
14150;3166634;01/02/2013 06:24;1;4.42103E7;4.42103E7
14150;3200952;08/08/2013 03:19;1;3.90516736E7;3.90516736E7
4047;3174572;07/01/2013 06:18;1;9.23664895E7;9.23664895E7
3422;3176571;07/03/2013 02:25;1;6.10625496E7;6.10625496E7
25144;3164989;23/12/2013 07:14;1;9.219515E7;9.219515E7
13020;3174572;01/01/2013 05:23;1;9.23664895E7;9.23664895E7
9761;3173169;03/01/2013 07:57;1;9.843735E7;9.255612054633692E7
3422;3178141;26/04/2013 04:06;1;8.03210805E7;8.03210805E7
3422;3198052;04/08/2013 10:30;1;8.97932595E7;8.97932595E7
25144;3196069;01/09/2013 21:03;1;4.24352384E7;4.24352384E7
25144;3199046;25/08/2013 08:13;1;8.97932595E7;8.97932595E7
25144;3200059;22/09/2013 00:19;1;4.173109E7;4.173109E7
3422;3200951;08/04/2013 19:34;1;4.7451265E7;4.7451265E7
4047;3200907;12/08/2013 18:15;1;3.8729415E7;3.8729415E7
4047;3200848;12/11/2013 04:07;1;4.7647095E7;4.7647095E7
25144;3199040;02/02/2013 03:32;1;8.99259905E7;8.99259905E7
3422;3200868;14/07/2013 06:43;1;4.856449E7;4.856449E7
3422;3194050;10/04/2013 05:14;1;9.02154445E7;9.02154445E7
3422;3199025;16/06/2013 07:17;1;9.0520791E7;9.0520791E7
4047;3200938;07/07/2013 23:33;1;3.052631295E7;3.052631295E7
25144;3200848;06/08/2013 08:34;1;4.7647095E7;4.7647095E7
3422;3200854;17/07/2013 22:18;1;3.4758895E7;3.4758895E7
13020;3198030;20/07/2013 20:22;1;5.260374E7;5.260374E7
25144;3200050;15/09/2013 17:33;1;5.6696755E7;5.6696755E7
9761;3181986;13/12/2013 16:54;1;9.2491643E7;9.09328036118791E7
25144;3200111;02/07/2013 02:25;1;4.009049E7;4.009049E7
25144;3172689;28/02/2013 00:18;1;7.80148325E7;7.80148325E7
3422;3200180;29/03/2013 01:58;1;2.99883187E7;2.99883187E7
25144;3200864;07/06/2013 20:14;1;3.519493E7;3.519493E7
13635;3174035;16/02/2013 10:03;1;6.54191922E7;6.54191922E7
13020;3164981;23/04/2013 06:40;1;5.481258E7;5.481258E7
13020;3198041;12/06/2013 03:22;1;9.0217728E7;9.0217728E7
13020;3170617;22/12/2013 18:03;1;9.0917673E7;9.0917673E7
13020;3200848;14/06/2013 12:43;1;4.7647095E7;4.7647095E7
9761;3172547;11/11/2013 09:32;1;9.22994175E7;9.066225078946945E7
13020;3200894;29/08/2013 13:44;1;3.675959295E7;3.675959295E7
9761;3199014;10/06/2013 00:55;1;9.07262E7;9.062360038626808E7
13020;3199053;21/08/2013 14:19;1;4.745239E7;4.745239E7
9761;3193084;06/07/2013 19:28;1;9.152982E7;9.058846365608501E7
13635;3200026;23/10/2013 08:21;1;3.03493683E7;3.03493683E7
13020;3200950;15/08/2013 12:47;1;3.097516E7;3.097516E7
9761;3200874;26/07/2013 18:23;1;2.86560973E7;2.86560973E7
9761;3200123;06/02/2013 11:11;1;2.83985869E7;2.83985869E7
13635;3176533;19/02/2013 20:08;1;8.490752E7;8.490752E7
13635;3199025;23/06/2013 18:52;1;9.0520791E7;8.697881461099318E7
13635;3200192;25/11/2013 20:30;1;2.65151E7;2.65151E7
3422;3200142;31/08/2013 09:41;1;2.639821E7;2.639821E7
14150;3181647;19/11/2013 07:33;1;2.6369005E7;2.6369005E7
13020;3200132;21/07/2013 17:28;1;2.591885E7;2.591885E7
13635;3200232;03/08/2013 20:01;1;2.560251E7;2.560251E7
25144;3195078;19/01/2013 17:24;1;2.55964E7;2.55964E7
3422;3200917;26/07/2013 19:28;1;2.2498055E7;2.2498055E7
